"REF_DATE","GEO","DGUID","Trade","North American Product Classification System (NAPCS)","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2003-07","Canada","2016A000011124","Import","Total of all merchandise","Dollars","81","millions","6","v1001808779","1.1.1","84277.5","","","","1"
"2003-10","Canada","2016A000011124","Import","Total of all merchandise","Dollars","81","millions","6","v1001808779","1.1.1","87931.1","","","","1"
"2004-01","Canada","2016A000011124","Import","Total of all merchandise","Dollars","81","millions","6","v1001808779","1.1.1","88778.0","","","","1"
"2004-04","Canada","2016A000011124","Import","Total of all merchandise","Dollars","81","millions","6","v1001808779","1.1.1","91986.1","","","","1"
"2004-07","Canada","2016A000011124","Import","Total of all merchandise","Dollars","81","millions","6","v1001808779","1.1.1","95293.3","","","","1"
"2004-10","Canada","2016A000011124","Import","Total of all merchandise","Dollars","81","millions","6","v1001808779","1.1.1","95740.1","","","","1"
"2005-01","Canada","2016A000011124","Import","Total of all merchandise","Dollars","81","millions","6","v1001808779","1.1.1","98889.1","","","","1"
"2005-04","Canada","2016A000011124","Import","Total of all merchandise","Dollars","81","millions","6","v1001808779","1.1.1","98340.4","","","","1"
"2005-07","Canada","2016A000011124","Import","Total of all merchandise","Dollars","81","millions","6","v1001808779","1.1.1","100231.3","","","","1"
"2005-10","Canada","2016A000011124","Import","Total of all merchandise","Dollars","81","millions","6","v1001808779","1.1.1","102421.0","","","","1"
"2006-01","Canada","2016A000011124","Import","Total of all merchandise","Dollars","81","millions","6","v1001808779","1.1.1","102682.0","","","","1"
"2006-04","Canada","2016A000011124","Import","Total of all merchandise","Dollars","81","millions","6","v1001808779","1.1.1","106281.5","","","","1"
"2006-07","Canada","2016A000011124","Import","Total of all merchandise","Dollars","81","millions","6","v1001808779","1.1.1","106297.8","","","","1"
"2006-10","Canada","2016A000011124","Import","Total of all merchandise","Dollars","81","millions","6","v1001808779","1.1.1","106005.5","","","","1"
