"REF_DATE","GEO","DGUID","Housing estimates","Type of unit","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"1997-08","Canada","2016A000011124","Housing starts","Total units","Units","300","units","0","v15817891","1.1.1","10374","","","","0"
"1997-09","Canada","2016A000011124","Housing starts","Total units","Units","300","units","0","v15817891","1.1.1","10085","","","","0"
"1997-10","Canada","2016A000011124","Housing starts","Total units","Units","300","units","0","v15817891","1.1.1","9957","","","","0"
"1997-11","Canada","2016A000011124","Housing starts","Total units","Units","300","units","0","v15817891","1.1.1","10035","","","","0"
"1997-12","Canada","2016A000011124","Housing starts","Total units","Units","300","units","0","v15817891","1.1.1","8966","","","","0"
"1998-01","Canada","2016A000011124","Housing starts","Total units","Units","300","units","0","v15817891","1.1.1","6097","","","","0"
"1998-02","Canada","2016A000011124","Housing starts","Total units","Units","300","units","0","v15817891","1.1.1","6620","","","","0"
"1998-03","Canada","2016A000011124","Housing starts","Total units","Units","300","units","0","v15817891","1.1.1","7458","","","","0"
"1998-04","Canada","2016A000011124","Housing starts","Total units","Units","300","units","0","v15817891","1.1.1","10768","","","","0"
"1998-05","Canada","2016A000011124","Housing starts","Total units","Units","300","units","0","v15817891","1.1.1","11748","","","","0"
"1998-06","Canada","2016A000011124","Housing starts","Total units","Units","300","units","0","v15817891","1.1.1","9999","","","","0"
"1998-07","Canada","2016A000011124","Housing starts","Total units","Units","300","units","0","v15817891","1.1.1","9065","","","","0"
"1998-08","Canada","2016A000011124","Housing starts","Total units","Units","300","units","0","v15817891","1.1.1","9987","","","","0"
"1998-09","Canada","2016A000011124","Housing starts","Total units","Units","300","units","0","v15817891","1.1.1","9610","","","","0"
"1998-10","Canada","2016A000011124","Housing starts","Total units","Units","300","units","0","v15817891","1.1.1","9519","","","","0"
"1998-11","Canada","2016A000011124","Housing starts","Total units","Units","300","units","0","v15817891","1.1.1","8904","","","","0"
"1998-12","Canada","2016A000011124","Housing starts","Total units","Units","300","units","0","v15817891","1.1.1","8764","","","","0"
"1999-01","Canada","2016A000011124","Housing starts","Total units","Units","300","units","0","v15817891","1.1.1","6164","","","","0"
"1999-02","Canada","2016A000011124","Housing starts","Total units","Units","300","units","0","v15817891","1.1.1","6434","","","","0"
"1999-03","Canada","2016A000011124","Housing starts","Total units","Units","300","units","0","v15817891","1.1.1","7467","","","","0"
"1999-04","Canada","2016A000011124","Housing starts","Total units","Units","300","units","0","v15817891","1.1.1","10962","","","","0"
"1999-05","Canada","2016A000011124","Housing starts","Total units","Units","300","units","0","v15817891","1.1.1","12575","","","","0"
"1999-06","Canada","2016A000011124","Housing starts","Total units","Units","300","units","0","v15817891","1.1.1","12119","","","","0"
"1999-07","Canada","2016A000011124","Housing starts","Total units","Units","300","units","0","v15817891","1.1.1","11028","","","","0"
"1999-08","Canada","2016A000011124","Housing starts","Total units","Units","300","units","0","v15817891","1.1.1","10794","","","","0"
"1999-09","Canada","2016A000011124","Housing starts","Total units","Units","300","units","0","v15817891","1.1.1","10943","","","","0"
"1999-10","Canada","2016A000011124","Housing starts","Total units","Units","300","units","0","v15817891","1.1.1","10245","","","","0"
"1999-11","Canada","2016A000011124","Housing starts","Total units","Units","300","units","0","v15817891","1.1.1","11098","","","","0"
"1999-12","Canada","2016A000011124","Housing starts","Total units","Units","300","units","0","v15817891","1.1.1","9883","","","","0"
"2000-01","Canada","2016A000011124","Housing starts","Total units","Units","300","units","0","v15817891","1.1.1","6331","","","","0"
"2000-02","Canada","2016A000011124","Housing starts","Total units","Units","300","units","0","v15817891","1.1.1","7731","","","","0"
"2000-03","Canada","2016A000011124","Housing starts","Total units","Units","300","units","0","v15817891","1.1.1","8278","","","","0"
"2000-04","Canada","2016A000011124","Housing starts","Total units","Units","300","units","0","v15817891","1.1.1","12043","","","","0"
"2000-05","Canada","2016A000011124","Housing starts","Total units","Units","300","units","0","v15817891","1.1.1","11773","","","","0"
"2000-06","Canada","2016A000011124","Housing starts","Total units","Units","300","units","0","v15817891","1.1.1","10624","","","","0"
"2000-07","Canada","2016A000011124","Housing starts","Total units","Units","300","units","0","v15817891","1.1.1","12698","","","","0"
"2000-08","Canada","2016A000011124","Housing starts","Total units","Units","300","units","0","v15817891","1.1.1","10568","","","","0"
"2000-09","Canada","2016A000011124","Housing starts","Total units","Units","300","units","0","v15817891","1.1.1","11626","","","","0"
"2000-10","Canada","2016A000011124","Housing starts","Total units","Units","300","units","0","v15817891","1.1.1","12140","","","","0"
"2000-11","Canada","2016A000011124","Housing starts","Total units","Units","300","units","0","v15817891","1.1.1","11254","","","","0"
"2000-12","Canada","2016A000011124","Housing starts","Total units","Units","300","units","0","v15817891","1.1.1","9030","","","","0"
"2001-01","Canada","2016A000011124","Housing starts","Total units","Units","300","units","0","v15817891","1.1.1","8561","","","","0"
"2001-02","Canada","2016A000011124","Housing starts","Total units","Units","300","units","0","v15817891","1.1.1","7112","","","","0"
"2001-03","Canada","2016A000011124","Housing starts","Total units","Units","300","units","0","v15817891","1.1.1","8331","","","","0"
"2001-04","Canada","2016A000011124","Housing starts","Total units","Units","300","units","0","v15817891","1.1.1","12803","","","","0"
"2001-05","Canada","2016A000011124","Housing starts","Total units","Units","300","units","0","v15817891","1.1.1","12755","","","","0"
"2001-06","Canada","2016A000011124","Housing starts","Total units","Units","300","units","0","v15817891","1.1.1","13942","","","","0"
"2001-07","Canada","2016A000011124","Housing starts","Total units","Units","300","units","0","v15817891","1.1.1","11226","","","","0"
"2001-08","Canada","2016A000011124","Housing starts","Total units","Units","300","units","0","v15817891","1.1.1","12388","","","","0"
"2001-09","Canada","2016A000011124","Housing starts","Total units","Units","300","units","0","v15817891","1.1.1","11202","","","","0"
"2001-10","Canada","2016A000011124","Housing starts","Total units","Units","300","units","0","v15817891","1.1.1","11978","","","","0"
"2001-11","Canada","2016A000011124","Housing starts","Total units","Units","300","units","0","v15817891","1.1.1","12310","","","","0"
"2001-12","Canada","2016A000011124","Housing starts","Total units","Units","300","units","0","v15817891","1.1.1","11295","","","","0"
