"REF_DATE","GEO","DGUID","North American Industry Classification System (NAICS)","Adjustments","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"1996-02","Canada","2016A000011124","Retail trade [44-45]","Seasonally adjusted","Dollars","81","thousands","3","v52367097","1.1.2","18657652","","","","0"
"1996-03","Canada","2016A000011124","Retail trade [44-45]","Seasonally adjusted","Dollars","81","thousands","3","v52367097","1.1.2","18774049","","","","0"
"1996-04","Canada","2016A000011124","Retail trade [44-45]","Seasonally adjusted","Dollars","81","thousands","3","v52367097","1.1.2","18739023","","","","0"
"1996-05","Canada","2016A000011124","Retail trade [44-45]","Seasonally adjusted","Dollars","81","thousands","3","v52367097","1.1.2","18758009","","","","0"
"1996-06","Canada","2016A000011124","Retail trade [44-45]","Seasonally adjusted","Dollars","81","thousands","3","v52367097","1.1.2","18977805","","","","0"
"1996-07","Canada","2016A000011124","Retail trade [44-45]","Seasonally adjusted","Dollars","81","thousands","3","v52367097","1.1.2","18914063","","","","0"
"1996-08","Canada","2016A000011124","Retail trade [44-45]","Seasonally adjusted","Dollars","81","thousands","3","v52367097","1.1.2","19071178","","","","0"
"1996-09","Canada","2016A000011124","Retail trade [44-45]","Seasonally adjusted","Dollars","81","thousands","3","v52367097","1.1.2","19019991","","","","0"
"1996-10","Canada","2016A000011124","Retail trade [44-45]","Seasonally adjusted","Dollars","81","thousands","3","v52367097","1.1.2","19488074","","","","0"
"1996-11","Canada","2016A000011124","Retail trade [44-45]","Seasonally adjusted","Dollars","81","thousands","3","v52367097","1.1.2","19820074","","","","0"
"1996-12","Canada","2016A000011124","Retail trade [44-45]","Seasonally adjusted","Dollars","81","thousands","3","v52367097","1.1.2","19688254","","","","0"
"1997-01","Canada","2016A000011124","Retail trade [44-45]","Seasonally adjusted","Dollars","81","thousands","3","v52367097","1.1.2","19857365","","","","0"
"1997-02","Canada","2016A000011124","Retail trade [44-45]","Seasonally adjusted","Dollars","81","thousands","3","v52367097","1.1.2","20141489","","","","0"
"1997-03","Canada","2016A000011124","Retail trade [44-45]","Seasonally adjusted","Dollars","81","thousands","3","v52367097","1.1.2","20056949","","","","0"
"1997-04","Canada","2016A000011124","Retail trade [44-45]","Seasonally adjusted","Dollars","81","thousands","3","v52367097","1.1.2","20215340","","","","0"
"1997-05","Canada","2016A000011124","Retail trade [44-45]","Seasonally adjusted","Dollars","81","thousands","3","v52367097","1.1.2","20386953","","","","0"
"1997-06","Canada","2016A000011124","Retail trade [44-45]","Seasonally adjusted","Dollars","81","thousands","3","v52367097","1.1.2","20466883","","","","0"
"1997-07","Canada","2016A000011124","Retail trade [44-45]","Seasonally adjusted","Dollars","81","thousands","3","v52367097","1.1.2","20681230","","","","0"
"1997-08","Canada","2016A000011124","Retail trade [44-45]","Seasonally adjusted","Dollars","81","thousands","3","v52367097","1.1.2","20605349","","","","0"
"1997-09","Canada","2016A000011124","Retail trade [44-45]","Seasonally adjusted","Dollars","81","thousands","3","v52367097","1.1.2","20646564","","","","0"
"1997-10","Canada","2016A000011124","Retail trade [44-45]","Seasonally adjusted","Dollars","81","thousands","3","v52367097","1.1.2","21037021","","","","0"
"1997-11","Canada","2016A000011124","Retail trade [44-45]","Seasonally adjusted","Dollars","81","thousands","3","v52367097","1.1.2","20973561","","","","0"
"1997-12","Canada","2016A000011124","Retail trade [44-45]","Seasonally adjusted","Dollars","81","thousands","3","v52367097","1.1.2","21749250","","","","0"
"1998-01","Canada","2016A000011124","Retail trade [44-45]","Seasonally adjusted","Dollars","81","thousands","3","v52367097","1.1.2","20776214","","","","0"
"1998-02","Canada","2016A000011124","Retail trade [44-45]","Seasonally adjusted","Dollars","81","thousands","3","v52367097","1.1.2","21153779","","","","0"
"1998-03","Canada","2016A000011124","Retail trade [44-45]","Seasonally adjusted","Dollars","81","thousands","3","v52367097","1.1.2","21041225","","","","0"
"1998-04","Canada","2016A000011124","Retail trade [44-45]","Seasonally adjusted","Dollars","81","thousands","3","v52367097","1.1.2","21504619","","","","0"
"1998-05","Canada","2016A000011124","Retail trade [44-45]","Seasonally adjusted","Dollars","81","thousands","3","v52367097","1.1.2","21504262","","","","0"
"1998-06","Canada","2016A000011124","Retail trade [44-45]","Seasonally adjusted","Dollars","81","thousands","3","v52367097","1.1.2","21247311","","","","0"
"1998-07","Canada","2016A000011124","Retail trade [44-45]","Seasonally adjusted","Dollars","81","thousands","3","v52367097","1.1.2","21385620","","","","0"
"1998-08","Canada","2016A000011124","Retail trade [44-45]","Seasonally adjusted","Dollars","81","thousands","3","v52367097","1.1.2","21335980","","","","0"
